,loss,accuracy,val_loss,val_accuracy,lr,epoch
0,2.2857072353363037,0.40833333134651184,6.481340408325195,0.009999999776482582,0.001,1
1,1.3246997594833374,0.6236410140991211,6.509342670440674,0.010599999688565731,0.001,2
2,1.0927484035491943,0.6811794638633728,6.923878192901611,0.06040000170469284,0.001,3
3,0.973652720451355,0.7145384550094604,8.908659934997559,0.009600000455975533,0.001,4
4,0.6341609358787537,0.8095384836196899,5.061305999755859,0.2409999966621399,0.000100000005,5
5,0.5083764791488647,0.8455641269683838,2.4453115463256836,0.4844000041484833,0.000100000005,6
6,0.4566337764263153,0.8576154112815857,5.729511260986328,0.1890999972820282,0.000100000005,7
7,0.40684205293655396,0.8721025586128235,8.172287940979004,0.08160000294446945,0.000100000005,8
8,0.370541512966156,0.8826410174369812,7.641421794891357,0.06870000064373016,0.000100000005,9
9,0.32960864901542664,0.8957436084747314,0.18074460327625275,0.9398000240325928,1.0000001e-05,10
10,0.31770509481430054,0.8987948894500732,0.17182016372680664,0.9452999830245972,1.0000001e-05,11
11,0.30954769253730774,0.9005897641181946,0.1465943604707718,0.9509000182151794,1.0000001e-05,12
12,0.30641016364097595,0.9023589491844177,0.15509982407093048,0.9495000243186951,1.0000001e-05,13
13,0.2981005311012268,0.9044615626335144,0.14987002313137054,0.9498000144958496,1.0000001e-05,14
14,0.29741039872169495,0.904769241809845,0.15586133301258087,0.949400007724762,1.0000001e-05,15
15,0.29472634196281433,0.905923068523407,0.1320621520280838,0.95660001039505,1.0000001e-06,16
16,0.2956068813800812,0.9051538705825806,0.13840116560459137,0.9545000195503235,1.0000001e-06,17
17,0.28553083539009094,0.9076410531997681,0.139097198843956,0.9559999704360962,1.0000001e-06,18
18,0.29006803035736084,0.907153844833374,0.13576363027095795,0.9560999870300293,1.0000001e-06,19
19,0.2876412868499756,0.9076410531997681,0.1390809416770935,0.9535999894142151,1e-06,20
20,0.2859753966331482,0.9100256562232971,0.13915343582630157,0.9562000036239624,1e-06,21
21,0.2892138361930847,0.9074358940124512,0.14585311710834503,0.9514999985694885,1e-06,22
22,0.29010680317878723,0.9077435731887817,0.12940232455730438,0.9581999778747559,1e-06,23
23,0.28254106640815735,0.9093077182769775,0.13969433307647705,0.9539999961853027,1e-06,24
24,0.28786250948905945,0.9083333611488342,0.1278861165046692,0.9581000208854675,1e-06,25
25,0.28975021839141846,0.9073076844215393,0.136702299118042,0.9545000195503235,1e-06,26
26,0.28674590587615967,0.9092820286750793,0.13256724178791046,0.9578999876976013,1e-06,27
27,0.2877311706542969,0.9058974385261536,0.1403312385082245,0.9526000022888184,1e-06,28
28,0.28592103719711304,0.9083333611488342,0.12626729905605316,0.9571999907493591,1e-06,29
29,0.2826704978942871,0.9096922874450684,0.12828291952610016,0.9595000147819519,1e-06,30
30,0.287304550409317,0.9080512523651123,0.1292448192834854,0.9575999975204468,1e-06,31
31,0.2845148742198944,0.9093077182769775,0.13993299007415771,0.9544000029563904,1e-06,32
32,0.2853444516658783,0.9075128436088562,0.13870273530483246,0.9557999968528748,1e-06,33
33,0.2890729308128357,0.9072820544242859,0.13673877716064453,0.9542999863624573,1e-06,34
34,0.28717339038848877,0.9068461656570435,0.1287359744310379,0.9559000134468079,1e-06,35
35,0.2791377305984497,0.9114871621131897,0.12838563323020935,0.958899974822998,1e-06,36
36,0.28199487924575806,0.9103589653968811,0.13440579175949097,0.9570000171661377,1e-06,37
37,0.27944812178611755,0.9103077054023743,0.13636641204357147,0.9553999900817871,1e-06,38
38,0.2792699933052063,0.9080769419670105,0.13260836899280548,0.9549999833106995,1e-06,39
